2019 Authorized Budget,,,,,Mar-17,,,,Apr-17,,,,May-17,,,,Jun-17,,,,Jul-17,,,,Aug-17,,,,Sep-17,,,,Oct-17,,,,Nov-17,,,,Dec-17,,,,Jan-18,,,,Feb-18,,,,Mar-18,,,,Apr-18,,,,May-18,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary 
632,MAD ARTS PROG ADMIN, 1.00 ,PLANNING," 89,002 ",4023,MAD ARTS PROG ADMIN, 1.00 ,83088.46,4023,MAD ARTS PROG ADMIN,1.00,83088.46,4023,MAD ARTS PROG ADMIN,1.00,83088.46,4023,MAD ARTS PROG ADMIN,1,83088.46,4023,MAD ARTS PROG ADMIN,1,84750.38,4023,MAD ARTS PROG ADMIN,1,84750.38,4023,MAD ARTS PROG ADMIN,1,84750.38,4023,MAD ARTS PROG ADMIN,1,84750.38,4023,MAD ARTS PROG ADMIN,1,84750.38,4023,MAD ARTS PROG ADMIN,1,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,85597.72,4023,MAD ARTS PROG ADMIN,1,85597.72,4023,MAD ARTS PROG ADMIN,1,85597.72,4023,MAD ARTS PROG ADMIN,1,85597.72,4023,MAD ARTS PROG ADMIN, 1.00 ,88379.72,4023,MAD ARTS PROG ADMIN-18, 1.00 ,88379.72,4023,MAD ARTS PROG ADMIN-18, 1.00 ,88379.72
633,PLANNER 4, 1.00 ,PLANNING," 102,942 ",2802,PLANNER 4, 1.00 ,96408.00,2802,PLANNER 4,1.00,96408.00,2802,PLANNER 4,1.00,96408.00,2802,PLANNER 4,1,96408.00,2802,PLANNER 4,1,98335.90,2802,PLANNER 4,1,98335.90,2802,PLANNER 4,1,98335.90,2802,PLANNER 4,1,98335.90,2802,PLANNER 4,1,98335.90,2802,PLANNER 4,1,99319.22,2802,PLANNER 4, 1.00 ,99319.22,2802,PLANNER 4, 1.00 ,99319.22,2802,PLANNER 4, 1.00 ,99319.22,2802,PLANNER 4, 1.00 ,99319.22,2802,PLANNER 4, 1.00 ,99319.22,2802,PLANNER 4, 1.00 ,99319.22,2802,PLANNER 4, 1.00 ,99319.22,2802,PLANNER 4, 1.00 ,99319.22,2802,PLANNER 4,1,99319.22,2802,PLANNER 4,1,99319.22,2802,PLANNER 4,1,99319.22,2802,PLANNER 4, 1.00 ,102547.12,2802,PLANNER 4-18, 1.00 ,102547.12,2802,PLANNER 4-18, 1.00 ,102547.12
634,PROGRAM ASST 2, 1.00 ,PLANNING," 62,584 ",2433,PROGRAM ASST 1, 1.00 ,57096.52,2433,PROGRAM ASST 1,1.00,57096.52,2433,PROGRAM ASST 1,1.00,57096.52,2433,PROGRAM ASST 2,1,57096.52,2433,PROGRAM ASST 2,1,59783.88,2433,PROGRAM ASST 2,1,59783.88,2433,PROGRAM ASST 2,1,59783.88,2433,PROGRAM ASST 2,1,59783.88,2433,PROGRAM ASST 2,1,59783.88,2433,PROGRAM ASST 2,1,60381.88,2433,PROGRAM ASST 2, 1.00 ,60381.88,2433,PROGRAM ASST 2, 1.00 ,60381.88,2433,PROGRAM ASST 2, 1.00 ,60381.88,2433,PROGRAM ASST 2, 1.00 ,60381.88,2433,PROGRAM ASST 2, 1.00 ,60381.88,2433,PROGRAM ASST 2, 1.00 ,60381.88,2433,PROGRAM ASST 2, 1.00 ,60381.88,2433,PROGRAM ASST 2, 1.00 ,60381.88,2433,PROGRAM ASST 2,1,60381.88,2433,PROGRAM ASST 2,1,60381.88,2433,PROGRAM ASST 2,1,60381.88,2433,PROGRAM ASST 2, 1.00 ,62344.10,2433,PROGRAM ASST 2-20, 1.00 ,62344.10,2433,PROGRAM ASST 2-20, 1.00 ,62344.10
635,PLANNER 4, 1.00 ,PLANNING," 91,231 ",1607,PLANNER 3, 1.00 ,84656.26,1607,PLANNER 3,1.00,84656.26,1607,PLANNER 3,1.00,84656.26,1607,PLANNER 3,1,84656.26,1607,PLANNER 3,1,86349.38,1607,PLANNER 3,1,86349.38,1607,PLANNER 3,1,86349.38,1607,PLANNER 3,1,86349.38,1607,PLANNER 3,1,86349.38,1607,PLANNER 3,1,87212.84,1607,PLANNER 3-18, 1.00 ,87212.84,1607,PLANNER 4, 1.00 ,95772.30,1607,PLANNER 4, 1.00 ,95772.30,1607,PLANNER 4, 1.00 ,95772.30,1607,PLANNER 4, 1.00 ,95772.30,1607,PLANNER 4, 1.00 ,95772.30,1607,PLANNER 4, 1.00 ,95772.30,1607,PLANNER 4, 1.00 ,96658.90,1607,PLANNER 4,1,96658.90,1607,PLANNER 4,1,96658.90,1607,PLANNER 4,1,96658.90,1607,PLANNER 4, 1.00 ,99800.48,1607,PLANNER 4-18, 1.00 ,99800.48,1607,PLANNER 4-18, 1.00 ,99800.48
636,PLANNER-PRINCIPAL, 1.00 ,PLANNING," 106,806 ",3455,PLANNER-PRINCIPAL, 1.00 ,100026.42,3455,PLANNER-PRINCIPAL,1.00,100026.42,3455,PLANNER-PRINCIPAL,1.00,100026.42,3455,PLANNER-PRINCIPAL,1,100026.42,3455,PLANNER-PRINCIPAL,1,102027.12,3455,PLANNER-PRINCIPAL,1,102027.12,3455,PLANNER-PRINCIPAL,1,102027.12,3455,PLANNER-PRINCIPAL,1,102027.12,3455,PLANNER-PRINCIPAL,1,102027.12,3455,PLANNER-PRINCIPAL,1,103047.36,3455,PLANNER-PRINCIPAL, 1.00 ,103047.36,3455,PLANNER-PRINCIPAL, 1.00 ,107984.24,3455,PLANNER-PRINCIPAL, 1.00 ,107984.24,3455,PLANNER-PRINCIPAL, 1.00 ,107984.24,3455,PLANNER-PRINCIPAL, 1.00 ,107984.24,3455,PLANNER-PRINCIPAL, 1.00 ,107984.24,3455,PLANNER-PRINCIPAL, 1.00 ,107984.24,3455,PLANNER-PRINCIPAL, 1.00 ,107984.24,3455,PLANNER-PRINCIPAL,1,107984.24,3455,PLANNER-PRINCIPAL,1,107984.24,3455,PLANNER-PRINCIPAL,1,107984.24,3455,PLANNER-PRINCIPAL, 1.00 ,111493.72,3455,PLANNER-PRINCIPAL-18, 1.00 ,111493.72,3455,PLANNER-PRINCIPAL-18, 1.00 ,111493.72
637,CODE ENFORC OFF 4, 1.00 ,BUILD INSP," 78,139 ",5362,CODE ENFORC OFF 3-16, 1.00 ,68129.62,5362,CODE ENFORC OFF 3-16,1.00,68129.62,5362,CODE ENFORC OFF 3-16,1.00,68129.62,5362,CODE ENFORC OFF 3-16,1,68129.62,5362,CODE ENFORC OFF 3-16,1,69492.28,5362,CODE ENFORC OFF 3-16,1,69492.28,5362,CODE ENFORC OFF 3-16,1,69492.28,5362,CODE ENFORC OFF 3-16,1,69492.28,5362,CODE ENFORC OFF 3-16,1,72468.76,5362,CODE ENFORC OFF 3-16,1,73193.38,5362,CODE ENFORC OFF 3-16, 1.00 ,73193.38,5362,CODE ENFORC OFF 3-16, 1.00 ,73193.38,5362,CODE ENFORC OFF 3-16, 1.00 ,73193.38,5362,CODE ENFORC OFF 3-16, 1.00 ,73193.38,5362,CODE ENFORC OFF 3-16, 1.00 ,75389.08,5362,CODE ENFORC OFF 3-16, 1.00 ,75389.08,5362,CODE ENFORC OFF 3-16, 1.00 ,75389.08,5362,CODE ENFORC OFF 3-16, 1.00 ,75389.08,5362,CODE ENFORC OFF 3-16,1,75389.08,5362,CODE ENFORC OFF 3-16,1,75389.08,5362,CODE ENFORC OFF 3-16,1,75389.08,5362,CODE ENFORC OFF 3-16, 1.00 ,77839.32,5362,CODE ENFORC OFF 3-16, 1.00 ,77839.32,5362,CODE ENFORC OFF 3-16, 1.00 ,77839.32
638,CODE ENFORC OFF 3, 1.00 ,BUILD INSP," 78,139 ",3278,CODE ENFC OFF 2-16, 1.00 ,62721.10,3278,CODE ENFC OFF 2-16,1.00,62721.10,3278,CODE ENFC OFF 2-16,1.00,62721.10,3278,CODE ENFC OFF 2-16,1,62721.10,3278,CODE ENFC OFF 2-16,1,66323.66,3278,CODE ENFC OFF 2-16,1,66323.66,3278,CODE ENFC OFF 2-16,1,66323.66,3278,CODE ENFC OFF 2-16,1,66323.66,3278,CODE ENFC OFF 2-16,1,66323.66,3278,CODE ENFC OFF 2-16,1,66986.92,3278,CODE ENFORC OFF 3, 1.00 ,72293.00,3278,CODE ENFORC OFF 3, 1.00 ,72293.00,3278,CODE ENFORC OFF 3, 1.00 ,72293.00,3278,CODE ENFORC OFF 3, 1.00 ,72293.00,3278,CODE ENFORC OFF 3, 1.00 ,72293.00,3278,CODE ENFORC OFF 3, 1.00 ,72293.00,3278,CODE ENFORC OFF 3, 1.00 ,75389.08,3278,CODE ENFORC OFF 3, 1.00 ,75389.08,3278,CODE ENFORC OFF 3,1,75389.08,3278,CODE ENFORC OFF 3,1,75389.08,3278,CODE ENFORC OFF 3,1,75389.08,3278,CODE ENFORC OFF 3, 1.00 ,77839.32,3278,CODE ENFORC OFF 3-16, 1.00 ,77839.32,3278,CODE ENFORC OFF 3-16, 1.00 ,77839.32
639,CODE ENFORC OFF 3, 1.00 ,BUILD INSP," 78,139 ",1887,CODE ENFC OFF 2-16, 1.00 ,65023.14,1887,CODE ENFC OFF 2-16,1.00,65023.14,1887,CODE ENFC OFF 2-16,1.00,65023.14,1887,CODE ENFC OFF 2-16,1,65023.14,1887,CODE ENFC OFF 2-16,1,66323.66,1887,CODE ENFC OFF 2-16,1,66323.66,1887,CODE ENFC OFF 2-16,1,66323.66,1887,CODE ENFORC OFF 3,1,71576.96,1887,CODE ENFORC OFF 3,1,71576.96,1887,CODE ENFORC OFF 3,1,72293.00,1887,CODE ENFORC OFF 3, 1.00 ,72293.00,1887,CODE ENFORC OFF 3, 1.00 ,72293.00,1887,CODE ENFORC OFF 3, 1.00 ,72293.00,1887,CODE ENFORC OFF 3, 1.00 ,72293.00,1887,CODE ENFORC OFF 3, 1.00 ,75389.08,1887,CODE ENFORC OFF 3, 1.00 ,75389.08,1887,CODE ENFORC OFF 3, 1.00 ,75389.08,1887,CODE ENFORC OFF 3, 1.00 ,75389.08,1887,CODE ENFORC OFF 3,1,75389.08,1887,CODE ENFORC OFF 3,1,75389.08,1887,CODE ENFORC OFF 3,1,75389.08,1887,CODE ENFORC OFF 3, 1.00 ,77839.32,1887,CODE ENFORC OFF 3-16, 1.00 ,77839.32,1887,CODE ENFORC OFF 3-16, 1.00 ,77839.32
640,BLDG INSPECT DIV DIR, 1.00 ,BUILD INSP," 133,675 ",1892,BLDG INSPECT DIV DIR, 1.00 ,126442.42,1892,BLDG INSPECT DIV DIR,1.00,126442.42,1892,BLDG INSPECT DIV DIR,1.00,126442.42,1892,BLDG INSPECT DIV DIR,1,126442.42,1892,BLDG INSPECT DIV DIR,1,128971.18,1892,BLDG INSPECT DIV DIR,1,128971.18,1892,BLDG INSPECT DIV DIR,1,128971.18,1892,BLDG INSPECT DIV DIR,1,128971.18,1892,BLDG INSPECT DIV DIR,1,128971.18,1892,BLDG INSPECT DIV DIR,1,128971.18,1892,BLDG INSPECT DIV DIR, 1.00 ,128971.18,1892,BLDG INSPECT DIV DIR, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR,1,130260.78,1892,BLDG INSPECT DIV DIR,1,130260.78,1892,BLDG INSPECT DIV DIR,1,130260.78,1892,BLDG INSPECT DIV DIR, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR-21, 1.00 ,130260.78,1892,BLDG INSPECT DIV DIR-21, 1.00 ,134494.36
641,CUSTODIAL WKR 2, 1.00 ,ENGINEERIN," 57,940 ",2318,CUSTODIAL WKR 2, 1.00 ,54262.78,2318,CUSTODIAL WKR 2,1.00,54262.78,2318,CUSTODIAL WKR 2,1.00,54262.78,2318,CUSTODIAL WKR 2,1,54262.78,2318,CUSTODIAL WKR 2,1,55348.02,2318,CUSTODIAL WKR 2,1,55348.02,2318,CUSTODIAL WKR 2,1,55348.02,2318,CUSTODIAL WKR 2,1,55348.02,2318,CUSTODIAL WKR 2,1,55348.02,2318,CUSTODIAL WKR 2,1,55901.56,2318,CUSTODIAL WKR 2, 1.00 ,55901.56,2318,CUSTODIAL WKR 2, 1.00 ,55901.56,2318,CUSTODIAL WKR 2, 1.00 ,55901.56,2318,CUSTODIAL WKR 2, 1.00 ,55901.56,2318,CUSTODIAL WKR 2, 1.00 ,55901.56,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,11691,CUSTODIAL WKR 1-16, 1.00 ,39459.16,11691,CUSTODIAL WKR 1-16,1,39459.16,11691,CUSTODIAL WKR 1-16,1,39459.16,11691,CUSTODIAL WKR 1-16,1,39459.16,11691,CUSTODIAL WKR 1-16, 1.00 ,40741.48,11691,CUSTODIAL WKR 1-16, 1.00 ,40741.48,11691,CUSTODIAL WKR 1-16, 1.00 ,40741.48
642,ARCHITECT 4, 1.00 ,ENGINEERIN," 107,438 ",4111,ARCHITECT 4, 1.00 ,102465.22,4111,ARCHITECT 4,1.00,102465.22,4111,ARCHITECT 4,1.00,102465.22,4111,ARCHITECT 4,1,102465.22,4111,ARCHITECT 4,1,102465.22,4111,ARCHITECT 4,1,102465.22,4111,ARCHITECT 4,1,103413.96,4111,ARCHITECT 4,1,103413.96,4111,ARCHITECT 4,1,103413.96,4111,ARCHITECT 4,1,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4,1,103413.96,4111,ARCHITECT 4,1,103413.96,4111,ARCHITECT 4,1,103413.96,4111,ARCHITECT 4, 1.00 ,103413.96,4111,ARCHITECT 4-18, 1.00 ,103413.96,4111,ARCHITECT 4-18, 1.00 ,103413.96
643,ZONING ADMIN, 1.00 ,BUILD INSP," 108,821 ",2901,ZONING ADMIN, 1.00 ,100026.42,2901,ZONING ADMIN,1.00,100026.42,2901,ZONING ADMIN,1.00,100026.42,2901,ZONING ADMIN,1,100026.42,2901,ZONING ADMIN,1,102027.12,2901,ZONING ADMIN,1,102027.12,2901,ZONING ADMIN,1,102027.12,2901,ZONING ADMIN,1,102027.12,2901,ZONING ADMIN,1,102027.12,2901,ZONING ADMIN,1,103047.36,2901,ZONING ADMIN, 1.00 ,103047.36,2901,ZONING ADMIN, 1.00 ,103047.36,2901,ZONING ADMIN, 1.00 ,103047.36,2901,ZONING ADMIN, 1.00 ,103047.36,2901,ZONING ADMIN, 1.00 ,103047.36,2901,ZONING ADMIN, 1.00 ,103047.36,2901,ZONING ADMIN, 1.00 ,104991.64,2901,ZONING ADMIN, 1.00 ,104991.64,2901,ZONING ADMIN,1,104991.64,2901,ZONING ADMIN,1,104991.64,2901,ZONING ADMIN,1,104991.64,2901,ZONING ADMIN, 1.00 ,108403.88,2901,ZONING ADMINISTRATOR-18, 1.00 ,108403.88,2901,ZONING ADMINISTRATOR-18, 1.00 ,108403.88
644,CODE ENFORC OFF 3, 1.00 ,BUILD INSP," 80,415 ",2345,CODE ENFORC OFF 3, 1.00 ,73179.34,2345,CODE ENFORC OFF 3,1.00,73179.34,2345,CODE ENFORC OFF 3,1.00,73179.34,2345,CODE ENFORC OFF 3,1,73179.34,2345,CODE ENFORC OFF 3,1,74642.88,2345,CODE ENFORC OFF 3,1,74642.88,2345,CODE ENFORC OFF 3,1,74642.88,2345,CODE ENFORC OFF 3,1,74642.88,2345,CODE ENFORC OFF 3,1,74642.88,2345,CODE ENFORC OFF 3,1,75389.08,2345,CODE ENFORC OFF 3, 1.00 ,75389.08,2345,CODE ENFORC OFF 3, 1.00 ,75389.08,2345,CODE ENFORC OFF 3, 1.00 ,75389.08,2345,CODE ENFORC OFF 3, 1.00 ,75389.08,2345,CODE ENFORC OFF 3, 1.00 ,75389.08,2345,CODE ENFORC OFF 3, 1.00 ,75389.08,2345,CODE ENFORC OFF 3, 1.00 ,75389.08,2345,CODE ENFORC OFF 3, 1.00 ,75389.08,2345,CODE ENFORC OFF 3,1,77585.04,2345,CODE ENFORC OFF 3,1,77585.04,2345,CODE ENFORC OFF 3,1,77585.04,2345,CODE ENFORC OFF 3, 1.00 ,80106.52,2345,CODE ENFORC OFF 3-16, 1.00 ,80106.52,2345,CODE ENFORC OFF 3-16, 1.00 ,80106.52
645,ELEC/HEAT INSPECTOR, 1.00 ,BUILD INSP," 77,197 ",7677,ELEC/HEAT INSPECTOR, 1.00 ,65541.32,7677,ELEC/HEAT INSPECTOR,1.00,65541.32,7677,ELEC/HEAT INSPECTOR,1.00,65541.32,7677,ELEC/HEAT INSPECTOR,1,65541.32,7677,ELEC/HEAT INSPECTOR,1,66852.24,7677,ELEC/HEAT INSPECTOR,1,66852.24,7677,ELEC/HEAT INSPECTOR,1,66852.24,7677,ELEC/HEAT INSPECTOR,1,66852.24,7677,ELEC/HEAT INSPECTOR,1,66852.24,7677,ELEC/HEAT INSPECTOR,1,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,70187.26,7677,ELEC/HEAT INSPECTOR,1,70187.26,7677,ELEC/HEAT INSPECTOR,1,70187.26,7677,ELEC/HEAT INSPECTOR,1,70187.26,7677,ELEC/HEAT INSPECTOR, 1.00 ,75572.12,7677,ELEC/HEAT INSPECTOR-16, 1.00 ,75572.12,7677,ELEC/HEAT INSPECTOR-16, 1.00 ,75572.12
646,PROPERTY CODE INSP 1, 1.00 ,BUILD INSP," 52,405 ",1040,PROPERTY CODE INSP 1, 1.00 ,57783.96,VACANT,, -   ,0.00,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,10911,PROPERTY CODE INSP 1, 1.00 ,48349.86,10911,PROPERTY CODE INSP 1, 1.00 ,48349.86,10911,PROPERTY CODE INSP 1, 1.00 ,48349.86,10911,PROPERTY CODE INSP 1, 1.00 ,48349.86,10911,PROPERTY CODE INSP 1, 1.00 ,48349.86,10911,PROPERTY CODE INSP 1, 1.00 ,48349.86,10911,PROPERTY CODE INSP 1, 1.00 ,48349.86,10911,PROPERTY CODE INSP 1, 1.00 ,49912.20,10911,PROPERTY CODE INSP 1,1,49912.20,10911,PROPERTY CODE INSP 1,1,49912.20,10911,PROPERTY CODE INSP 1,1,49912.20,10911,PROPERTY CODE INSP 1, 1.00 ,51534.34,10911,PROPERTY CODE INSP 1-16, 1.00 ,51534.34,10911,PROPERTY CODE INSP 1-16, 1.00 ,51534.34
647,ADMIN CLK 1, 1.00 ,BUILD INSP," 57,296 ",3853,ADMIN CLK 1, 1.00 ,53577.42,3853,ADMIN CLK 1,1.00,53577.42,3853,ADMIN CLK 1,1.00,53577.42,3853,ADMIN CLK 1,1,53577.42,3853,ADMIN CLK 1,1,54648.88,3853,ADMIN CLK 1,1,54648.88,3853,ADMIN CLK 1,1,54648.88,3853,ADMIN CLK 1,1,54648.88,3853,ADMIN CLK 1,1,54648.88,3853,ADMIN CLK 1,1,55195.66,3853,ADMIN CLK 1, 1.00 ,55195.66,3853,ADMIN CLK 1, 1.00 ,55195.66,3853,ADMIN CLK 1, 1.00 ,55195.66,3853,ADMIN CLK 1, 1.00 ,55195.66,3853,ADMIN CLK 1, 1.00 ,55195.66,11259,ADMIN CLK 1, 1.00 ,44225.74,11259,ADMIN CLK 1, 1.00 ,44225.74,11259,ADMIN CLK 1, 1.00 ,44225.74,11259,ADMIN CLK 1,1,44225.74,11259,ADMIN CLK 1,1,45380.92,11259,ADMIN CLK 1,1,45380.92,11259,ADMIN CLK 1, 1.00 ,46855.90,11259,ADMIN CLK 1-20, 1.00 ,46855.90,11259,ADMIN CLK 1-20, 1.00 ,46855.90
648,CODE ENFORC OFF 3, 1.00 ,BUILD INSP," 54,636 ",10250,CODE ENFC OFF 1-16, 1.00 ,51168.52,10250,CODE ENFC OFF 1-16,1.00,51168.52,10250,CODE ENFC OFF 1-16,1.00,51168.52,10250,CODE ENFC OFF 1-16,1,51168.52,10250,CODE ENFC OFF 1-16,1,52191.88,10250,CODE ENFC OFF 1-16,1,52191.88,10250,CODE ENFC OFF 1-16,1,53581.58,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,10613,CODE ENFC OFF 1-16, 1.00 ,54117.44,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT
649,ENGINEER 3, 1.00 ,ENGINEERIN," 69,376 ",1142,ENGINEER 3, 1.00 ,84656.26,1142,ENGINEER 3,1.00,84656.26,1142,ENGINEER 3,1.00,84656.26,1142,ENGINEER 3,1,84656.26,1142,ENGINEER 3,1,86349.38,1142,ENGINEER 3,1,87148.88,1142,ENGINEER 3,1,87148.88,1142,ENGINEER 3,1,87148.88,1142,ENGINEER 3,1,87148.88,1142,ENGINEER 3,1,88020.40,1142,ENGINEER 3, 1.00 ,88020.40,1142,ENGINEER 3, 1.00 ,88020.40,1142,ENGINEER 3, 1.00 ,88020.40,1142,ENGINEER 3, 1.00 ,88020.40,1142,ENGINEER 3, 1.00 ,88020.40,1142,ENGINEER 3, 1.00 ,88020.40,1142,ENGINEER 3, 1.00 ,88020.40,1142,ARCHITECT 3-18, 1.00 ,88020.40,1142,ARCHITECT 3-18,1,88020.40,1142,ARCHITECT 3-18,1,88020.40,1142,ARCHITECT 3-18,1,88020.40,1142,ARCHITECT 3-18, 1.00 ,90880.92,1142,ENGINEER 3-18, 1.00 ,90880.92,11681,ARCHITECT 3-18, 1.00 ,79610.96
651,ELEC/HEAT INSPECTOR, 1.00 ,BUILD INSP," 84,966 ",2971,ELEC/HEAT INSPECTOR, 1.00 ,79573.52,2971,ELEC/HEAT INSPECTOR,1.00,79573.52,2971,ELEC/HEAT INSPECTOR,1.00,79573.52,2971,ELEC/HEAT INSPECTOR,1,79573.52,2971,ELEC/HEAT INSPECTOR,1,81164.98,2971,ELEC/HEAT INSPECTOR,1,81164.98,2971,ELEC/HEAT INSPECTOR,1,81164.98,2971,ELEC/HEAT INSPECTOR,1,81164.98,2971,ELEC/HEAT INSPECTOR,1,81164.98,2971,ELEC/HEAT INSPECTOR,1,81976.70,2971,ELEC/HEAT INSPECTOR, 1.00 ,81976.70,2971,ELEC/HEAT INSPECTOR, 1.00 ,81976.70,2971,ELEC/HEAT INSPECTOR, 1.00 ,81976.70,2971,ELEC/HEAT INSPECTOR, 1.00 ,81976.70,2971,ELEC/HEAT INSPECTOR, 1.00 ,81976.70,2971,ELEC/HEAT INSPECTOR, 1.00 ,81976.70,2971,ELEC/HEAT INSPECTOR, 1.00 ,81976.70,2971,ELEC/HEAT INSPECTOR, 1.00 ,81976.70,2971,ELEC/HEAT INSPECTOR,1,81976.70,VACANT,VACANT,VACANT,VACANT,11989,ELEC/HEAT INSPECTOR,1,62733.32,11989,ELEC/HEAT INSPECTOR, 1.00 ,64772.24,11989,ELEC/HEAT INSPECTOR-16, 1.00 ,64772.24,11989,ELEC/HEAT INSPECTOR-16, 1.00 ,64772.24
